product_code,name_ko,name_en,name_ru,barcode,brand,volume,pcs_per_carton,width_cm,height_cm,depth_cm,cbm,weight_kg,hscode,status
FJFC004,"프레쥬 유주허니 올 클리어 클렌징 폼 250ml","Fraijour Yuzu Honey All Clear Cleansing Foam 250ml","[Fraijour] Пенка для умывания ПРОПОЛИС Yuzu Honey All Clear Cleansing Foam, 250 мл",8802929007984,FRAIJOUR,,47,47.00,14.00,15.00,0.037290,,3401.30-0000,active
FJFC005,"프레쥬 레틴 콜라겐 3D 코어 클렌징 폼 250ml","Fraijour Retin-Collagen 3D Core Cleansing Foam 250ml","[Fraijour] Пенка-гель для умывания КОЛЛАГЕН/РЕТИНОЛ Retin-Collagen 3D Core Cleansing Foam, 250 мл",8802929008370,FRAIJOUR,,47,47.00,14.00,15.00,0.037290,,3401.30-0000,active
FJFCPN2,"프레쥬 자연약쑥 클렌징폼 5mlx20ea","Fraijour original herb wormwood cleansing foam 5mlx20ea","[Fraijour] Пенка для умывания РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ Original Herb Wormwood Cleansing Foam, 5мл*20 шт",8802929010137,FRAIJOUR,,34,34.00,4.00,5.00,0.039680,,3401.30-0000,active
FJGB001,"프레쥬 어성초 블레미쉬 클렌징 젤 밤 100ml","Fraijour Heartleaf Blemish Cleansing Gel Balm 100ml","[Fraijour] Очищающий гель-бальзам Heartleaf Blemish Cleansing Gel Balm 100 мл",8802929010731,FRAIJOUR,,84,84.00,9.90,10.90,0.033660,,3304.99-1000,active
FJGC007,"프레쥬 바이옴 5-락토 밸런스 젤 클렌저 210ml","Fraijour Biome 5-Lacto Balance Gel Cleanser 210ml","[Fraijour] Biome 5-Lacto Balance Gel Cleanser Гель для умывания ПРОБИОТИКИ, 210 мл",8802929008653,FRAIJOUR,,60,60.00,17.00,18.00,0.038710,,3401.30-0000,active
FJLM001,"프레쥬 자연약쑥 립 슬리핑 마스크 12g","Fraijour Wormwood Lip Sleeping Mask 12g","[Fraijour] Маска для губ РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ Wormwood Lip Sleeping Mask, 12 мл",8802929008028,FRAIJOUR,,286,286.00,5.72,6.72,0.024024,,3304.99-1000,active
FJLM002,"프레쥬 유주허니 립 슬리핑 마스크 12g","Fraijour Yuzu Honey Lip Sleeping Mask 12g","[Fraijour] Маска для губ ПРОПОЛИС Yuzu Honey Lip Sleeping Mask, 12 мл",8802929008035,FRAIJOUR,,286,286.00,5.72,6.72,0.024024,,3304.99-1000,active
FJLO001,"프레쥬 레틴 콜라겐 3D 코어 립오일 3.5ml","Fraijour Retin-Collagen 3D Core Lip Oil 3.5ml","[Fraijour] Масло для губ КОЛЛАГЕН / РЕТИНАЛЬ Retin-Collagen 3D Core Lip Oil, 3,5 мл",8802929009797,FRAIJOUR,,91,91.00,1.40,2.40,0.006120,,3304.99-1000,active
FJMK003,"프레쥬 프로 모이스처 밀크 토닝 클레이 마스크","Fraijour Pro Moisture Milk Toning Clay Mask 75g","[Fraijour] Глиняная маска для лица УВЛАЖНЯЮЩАЯ Pro Moisture Milk Toning Clay Mask, 75 гр",8802929009308,FRAIJOUR,,77,77.00,8.00,9.00,0.033660,,3307.90-4000,active
FJMK004,"프레쥬 유주 허니 안티 멜라 캡슐 마스크","Fraijour Yuzu Honey Anti-Mela Capsule Mask 75ml","[Fraijour] Капсульная маска для лица ЮДЗУ Yuzu Honey Anti-Mela Capsule Mask, 75 мл",8802929009438,FRAIJOUR,,77,77.00,6.70,8.70,0.033660,,3304.99-9000,active
