product_id,name,spec,bal_qty,warehouse_code,barcode,box_qty
MLHC006,"미미로린스 모먼트 플랜트 핸드크림- 헤이그린","미미로린스 모먼트 플랜트 핸드크림- 헤이그린 [500mL]",539,W104,,1
MLHC007,"미미로린스 모먼트 플랜트 핸드크림- 베리비트","미미로린스 모먼트 플랜트 핸드크림- 베리비트 [500mL]",537,W104,,1
MLHC008,"미미로린스 모먼트 플랜트 핸드크림- 해피텐져린","미미로린스 모먼트 플랜트 핸드크림- 해피텐져린 [500mL]",503,W104,,1
MLHC009,"미미로린스 모먼트 플랜트 핸드크림- 퓨어피치","미미로린스 모먼트 플랜트 핸드크림- 퓨어피치 [500mL]",463,W104,,1
MLHC011,"미미로린스 뷰티레슨 핸드크림 #1 로지 플뢰르","미미로린스 뷰티레슨 핸드크림 #1 로지 플뢰르",-84,W104,,1
MLHC013,"미미로린스 뷰티레슨 핸드크림 #3 이그조티크","미미로린스 뷰티레슨 핸드크림 #3 이그조티크",-48,W104,,1
MLHC014,"미미로린스 모먼트 핸드크림- 뮤즈","미미로린스 모먼트 핸드크림- 뮤즈 [60mL]",680,W104,,1
MLHC015,"미미로린스 모먼트 핸드크림- 멜리플루어스","미미로린스 모먼트 핸드크림- 멜리플루어스 [60mL]",570,W104,,1
MLHC016,"미미로린스 모먼트 핸드크림- 스칼렛","미미로린스 모먼트 핸드크림- 스칼렛 [60mL]",518,W104,,1
MLHC017,"미미로린스 모먼트 핸드크림- 가드니아","미미로린스 모먼트 핸드크림- 가드니아 [60mL]",240,W104,,1
MLHC018,"미미로린스 모먼트 래디언스 핸드 포마드크림- 아로마틱 리플렉션",60mL,0,W104,,1
MLHC019,"미미로린스 모먼트 래디언스 핸드 포마드크림- 드로우인 선셋",60mL,0,W104,,1
MLHC020,"미미로린스 모먼트 래디언스 핸드 포마드크림- 글로우온 페탈",60mL,0,W104,,1
MLHC2T1,"미미로린스 모먼트 플랜트 핸드케어 세트- 헤이그린",500mL*2,0,W104,,1
MLHC2T2,"미미로린스 모먼트 플랜트 핸드케어 세트- 베리비트","미미로린스 모먼트 플랜트 핸드케어 세트- 베리비트 [500mL*2]",-1,W104,,1
MLHC2T3,"미미로린스 모먼트 플랜트 핸드케어 세트- 해피텐져린","미미로린스 모먼트 플랜트 핸드케어 세트- 해피텐져린 [500mL*2]",-1,W104,,1
MLHC3T1,"미미로린스 뷰티레슨 핸드크림 3종세트",,0,W104,,1
